r1,r2,r3,r4,r5,r6,c1,c2,cost
470,47000.0,680,2700.0,120,100,1.5e-09,3.3e-08,4.977493298935553
330,270,12000.0,330,8200.0,4700.0,1e-08,1.5e-09,1.944409512896243
820,1200.0,3900.0,18000.0,3900.0,3900.0,3.3e-09,6.8e-09,4.930237615876675
470,82000.0,1500.0,1000.0,1800.0,15000.0,6.8e-09,4.7e-09,0.9689476416027465
1000.0,6800.0,2200.0,33000.0,100,10000.0,1e-09,1e-09,4.995715909760776
27000.0,3300.0,150,27000.0,2200.0,82000.0,6.8e-09,1.5e-09,2.680355502763593
470,1800.0,68000.0,390,39000.0,820,3.3e-08,6.8e-09,1.0741178203216981
5600.0,47000.0,27000.0,18000.0,18000.0,6800.0,2.2e-09,6.8e-08,1.2804699390159135
330,4700.0,560,1000.0,15000.0,5600.0,4.7e-09,1e-09,0.9334421777936812
150,3900.0,100,390,2700.0,120,3.3e-09,3.3e-09,4.864052172839935
180,27000.0,330,33000.0,820,3900.0,1e-08,3.3e-08,3.6031925485943637
1000.0,470,68000.0,33000.0,2200.0,330,6.8e-09,3.3e-08,4.8393375040513344
680,4700.0,2200.0,1000.0,27000.0,680,3.3e-09,2.2e-08,0.8035525443990117
2200.0,2200.0,270,120,820,2200.0,1e-09,6.8e-08,2.545865115442406
330,82000.0,68000.0,100,560,33000.0,2.2e-08,3.3e-08,1.0062084459312675
2700.0,8200.0,4700.0,150,47000.0,56000.0,3.3e-09,3.3e-08,1.0787898704536534
27000.0,1500.0,10000.0,3300.0,18000.0,820,2.2e-08,1.5e-08,0.4442226975558007
3900.0,330,5600.0,150,270,10000.0,1e-09,2.2e-08,1.0757383748682003
22000.0,56000.0,180,5600.0,4700.0,470,4.7e-09,4.7e-08,4.97500687408304
2700.0,820,330,5600.0,1800.0,15000.0,1e-09,1e-09,4.686023204401958
820,180,1500.0,22000.0,8200.0,560,1e-09,1e-08,4.956760554217853
1200.0,330,18000.0,1000.0,12000.0,5600.0,3.3e-09,2.2e-09,2.5285499926497983
56000.0,68000.0,680,3300.0,680,150,4.7e-08,1e-09,4.852143381529892
390,33000.0,680,390,5600.0,3300.0,1e-09,2.2e-09,0.9490150816701044
33000.0,18000.0,27000.0,39000.0,4700.0,27000.0,6.8e-09,1.5e-08,2.412722794099239
33000.0,4700.0,4700.0,680,6800.0,6800.0,3.3e-08,1e-08,2.9870901391491698
33000.0,1000.0,2200.0,5600.0,330,6800.0,6.8e-09,3.3e-08,2.5148927309073525
39000.0,22000.0,8200.0,47000.0,100,220,4.7e-09,4.7e-08,4.863141728291831
33000.0,1500.0,330,56000.0,10000.0,2200.0,6.8e-09,4.7e-09,4.794296945871113
18000.0,1500.0,220,390,47000.0,150,1e-08,1.5e-08,1.0363434536277527
2200.0,150,10000.0,390,680,47000.0,1.5e-09,2.2e-08,1.060519987647935
3300.0,82000.0,8200.0,270,18000.0,6800.0,2.2e-09,1e-09,0.7706949091354565
12000.0,2700.0,1500.0,27000.0,270,8200.0,2.2e-08,6.8e-09,3.2645784058718537
3300.0,10000.0,15000.0,220,3300.0,10000.0,2.2e-09,2.2e-09,2.4801607453071592
12000.0,150,22000.0,56000.0,560,180,1.5e-09,3.3e-08,4.853748559455001
820,18000.0,1000.0,270,220,270,1e-09,6.8e-08,4.083081789726446
180,1000.0,6800.0,330,1800.0,5600.0,6.8e-09,1e-08,2.5275645640695337
100,1800.0,100,4700.0,680,27000.0,1e-08,1.5e-09,4.51389657002927
27000.0,18000.0,120,2200.0,560,100,1.5e-08,1.5e-09,4.990275518020084
2200.0,1000.0,47000.0,220,1000.0,180,1e-09,1e-09,4.041101538480351
3900.0,1800.0,12000.0,8200.0,680,270,1e-08,6.8e-09,3.379129901329386
680,100,270,180,15000.0,12000.0,6.8e-08,4.7e-09,1.2463807777890086
2200.0,56000.0,270,560,470,22000.0,3.3e-08,1e-08,1.1074223965103216
27000.0,82000.0,390,82000.0,6800.0,2200.0,6.8e-08,6.8e-08,3.8687676344399207
15000.0,330,47000.0,100,56000.0,12000.0,1.5e-08,6.8e-09,1.0579412877775416
680,27000.0,1800.0,82000.0,2700.0,330,2.2e-09,4.7e-09,4.969519386485889
56000.0,6800.0,18000.0,560,560,3300.0,4.7e-09,1.5e-08,1.4704400738420653
10000.0,1200.0,820,2200.0,1200.0,1000.0,6.8e-08,6.8e-08,2.807476420947
68000.0,12000.0,1800.0,1800.0,1200.0,100,3.3e-08,1e-09,4.423067524146464
12000.0,15000.0,1000.0,560,680,1500.0,4.7e-09,4.7e-08,2.804961897821335
47000.0,68000.0,82000.0,68000.0,56000.0,39000.0,4.7e-09,1.5e-08,3.242701022866872
1500.0,820,56000.0,180,4700.0,8200.0,3.3e-09,3.3e-08,1.060173895531958
6800.0,47000.0,100,180,68000.0,1500.0,1.5e-09,1e-08,1.5670044330799802
1000.0,22000.0,1800.0,150,18000.0,33000.0,2.2e-08,3.3e-08,1.0008199410239367
1200.0,1000.0,8200.0,12000.0,6800.0,6800.0,3.3e-09,1e-08,3.1442344254063848
2700.0,1500.0,1500.0,560,4700.0,47000.0,2.2e-08,3.3e-08,1.158879439867336
2700.0,2200.0,27000.0,1800.0,100,1200.0,4.7e-09,3.3e-09,3.6599229996537535
82000.0,180,330,270,470,3300.0,1.5e-08,6.8e-09,3.300874063200854
100,2200.0,470,3900.0,5600.0,1200.0,1e-09,6.8e-09,4.217773547550574
3300.0,560,1000.0,820,1800.0,82000.0,6.8e-09,4.7e-09,2.0525233933886455
680,27000.0,18000.0,12000.0,3300.0,47000.0,1e-09,3.3e-09,2.64646393694386
5600.0,270,180,18000.0,1500.0,4700.0,1.5e-09,6.8e-09,3.7892490447044844
5600.0,5600.0,180,10000.0,1200.0,18000.0,2.2e-08,1.5e-09,4.652334316547677
150,39000.0,270,330,18000.0,4700.0,1e-08,1e-08,0.9867859630715535
680,82000.0,1000.0,82000.0,390,6800.0,1.5e-08,3.3e-09,4.763318332735732
47000.0,4700.0,470,15000.0,220,82000.0,3.3e-09,3.3e-08,1.2131159716154305
4700.0,3900.0,56000.0,39000.0,390,56000.0,4.7e-08,1e-08,2.050750110230683
47000.0,680,39000.0,82000.0,3300.0,2200.0,1.5e-08,3.3e-08,2.7055192340057985
68000.0,22000.0,1000.0,5600.0,68000.0,4700.0,3.3e-08,1e-09,0.8566682175911563
39000.0,150,33000.0,15000.0,10000.0,47000.0,3.3e-08,1e-08,1.6358827958962823
68000.0,1000.0,120,10000.0,680,1500.0,6.8e-09,2.2e-08,3.706948980950058
820,10000.0,4700.0,22000.0,330,56000.0,6.8e-09,6.8e-09,3.824943469436362
330,33000.0,47000.0,15000.0,22000.0,56000.0,1e-09,3.3e-08,1.0706173605297369
22000.0,68000.0,120,8200.0,180,39000.0,6.8e-09,3.3e-09,3.7460910473474214
150,33000.0,68000.0,3300.0,390,3300.0,4.7e-08,3.3e-09,0.9600589327106063
390,560,8200.0,1200.0,2200.0,1500.0,1e-08,6.8e-08,2.525302988213818
82000.0,390,27000.0,47000.0,8200.0,270,4.7e-09,6.8e-08,4.626634369506929
560,220,10000.0,33000.0,6800.0,470,1.5e-08,6.8e-08,3.757278109303886
6800.0,820,56000.0,150,1000.0,39000.0,1e-09,1.5e-08,1.0590314331472928
15000.0,22000.0,180,220,1800.0,8200.0,3.3e-09,6.8e-08,2.4322531935706544
820,3300.0,1800.0,330,560,220,2.2e-08,3.3e-08,1.9640525199286243
5600.0,150,2200.0,1200.0,6800.0,330,1.5e-08,6.8e-08,1.9120857022295024
2200.0,2700.0,33000.0,18000.0,27000.0,180,6.8e-08,1e-09,0.9764920802564038
